date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol,symbol_encoded
2024-11-04,1337.85,1340.0,1285.1,1302.15,19796890,-0.0272662757255444,-0.0241315996552626,0.0137577192068092,13987314.1,1350.56,1426.956,0,-0.6502732121990263,28.91757628408355,25.812494839060964,0.1470260722650998,0.1519410206197443,0.2989670928848442,0,RELIANCE,1
2024-11-05,1293.0,1309.55,1286.15,1305.3,16267479,0.0024190761433013,-0.0258955223880597,0.0134809929769698,14030866.0,1345.9575,1422.81,0,0.525641003177736,30.257805006328624,25.640173779128027,0.1442580249751014,0.1539875890599862,0.2982456140350877,0,RELIANCE,1
2024-11-06,1310.0,1328.3,1300.2,1325.35,21625209,0.0153604535355855,-0.0138031103504726,0.0162165275881707,14471912.7,1343.495,1419.308,0,0.5462633257557521,38.23983975456167,25.81587565204745,0.1269475987475006,0.1667861319651412,0.2937337307126419,0,RELIANCE,1
2024-11-07,1324.0,1324.0,1302.6,1305.65,9611974,-0.0148639981891574,-0.0198190758605156,0.0169962691529072,13217516.7,1340.225,1415.455,0,-0.857476595445011,34.10912578435513,25.596884534044055,0.143951288630184,0.154214375981312,0.2981656646114961,0,RELIANCE,1
2024-11-08,1297.65,1301.65,1275.0,1283.75,19814406,-0.0167732547007238,-0.0410114667762298,0.0169505834107821,13339207.7,1335.8075,1410.7120000000002,0,-0.52157596541929,30.20319519617746,25.95782135304092,0.1634664070107107,0.1397857838364168,0.3032521908471275,0,RELIANCE,1
2024-11-11,1278.95,1286.0,1267.0,1272.7,9056552,-0.0086075949367088,-0.0226164420381677,0.0133905616417643,13162427.9,1330.8175,1405.974,0,-0.3289473511080341,28.433927182405423,25.460834113537995,0.173568005028679,0.132317121081166,0.3058851261098451,0,RELIANCE,1
2024-11-12,1275.55,1289.3,1267.5,1274.25,10671091,0.001217883240355,-0.0237876350264306,0.0132455391487191,13028700.9,1327.33,1401.134,0,-0.0596330247874739,29.061661472436697,25.19934596257099,0.1721404747890915,0.133372572101236,0.3055130468903276,0,RELIANCE,1
2024-11-13,1270.25,1275.45,1249.5,1252.05,14633633,-0.0174220129487934,-0.0553061455464594,0.0078115870321293,13293621.9,1322.2275,1395.9930000000002,0,-0.701348720564597,25.59838478680487,25.25296410810164,0.1929236052873287,0.1180064693902,0.3109300746775288,1,RELIANCE,1
2024-11-14,1253.6,1272.6,1251.1,1267.6,12612633,0.0124196318038416,-0.0291425726649562,0.0126941550852981,13621720.2,1317.7875,1391.054,0,0.6511627604110344,31.73497477340709,24.98489524323724,0.1782896812874724,0.1288261281161249,0.3071158094035973,0,RELIANCE,1
2024-11-18,1267.6,1272.9,1243.9,1260.75,13620611,-0.0054039129062795,-0.0179162609542355,0.011171508739843,14771047.8,1312.86,1386.409,0,-0.2362068884066558,30.540000264265856,25.271688440148864,0.1846916517945666,0.1240928019036288,0.3087844536981954,0,RELIANCE,1
